FILENUMBER,LATITUDE,LONGITUDE,FCYEAR,GLOBALID
009302003,39.68953113,-104.91683592,2003,{00000000-0000-0000-0000-000000000000}
009622003,39.77933881,-105.04543542,2003,{00000000-0000-0000-0000-000000000000}
009792003,39.6815473,-104.91632361,2003,{00000000-0000-0000-0000-000000000000}
010022003,39.73305052,-104.94018157,2003,{00000000-0000-0000-0000-000000000000}
010112003,39.77978642,-105.05292263,2003,{00000000-0000-0000-0000-000000000000}
010222003,39.70793727,-105.03340871,2003,{00000000-0000-0000-0000-000000000000}
010442003,39.75905011,-104.97551331,2003,{00000000-0000-0000-0000-000000000000}
010662003,39.78995708,-104.84440387,2003,{00000000-0000-0000-0000-000000000000}
010852003,39.63388224,-105.10121344,2003,{00000000-0000-0000-0000-000000000000}
011172003,39.70683979,-105.02124501,2003,{00000000-0000-0000-0000-000000000000}
011442003,39.78063771,-104.81984868,2003,{00000000-0000-0000-0000-000000000000}
011652003,39.75318122,-105.02078277,2003,{00000000-0000-0000-0000-000000000000}
024642003,39.78755458,-104.80698839,2003,{00000000-0000-0000-0000-000000000000}
024722003,39.75759799,-104.97000353,2003,{00000000-0000-0000-0000-000000000000}
024702003,39.7646321,-105.0431434,2003,{00000000-0000-0000-0000-000000000000}
024712003,39.71570807,-105.02599908,2003,{00000000-0000-0000-0000-000000000000}
007012003,39.74578598,-104.88615426,2003,{00000000-0000-0000-0000-000000000000}
007122003,39.76775453,-104.90913445,2003,{00000000-0000-0000-0000-000000000000}
007352003,39.6423264,-104.88283192,2003,{00000000-0000-0000-0000-000000000000}
008332003,39.75083255,-105.00003816,2003,{00000000-0000-0000-0000-000000000000}
008442003,39.76427442,-104.95082522,2003,{00000000-0000-0000-0000-000000000000}
008612003,39.65020901,-104.89076692,2003,{00000000-0000-0000-0000-000000000000}
023792003,39.65811614,-104.90204019,2003,{00000000-0000-0000-0000-000000000000}
023832003,39.7790998,-104.74215857,2003,{00000000-0000-0000-0000-000000000000}
023842003,39.69179667,-105.00802849,2003,{00000000-0000-0000-0000-000000000000}
023852003,39.7327374,-105.02898541,2003,{00000000-0000-0000-0000-000000000000}
023862003,39.77619944,-104.76371942,2003,{00000000-0000-0000-0000-000000000000}
025872003,39.72651687,-104.97910084,2003,{00000000-0000-0000-0000-000000000000}
025892003,39.72836064,-104.90378932,2003,{00000000-0000-0000-0000-000000000000}
025902003,39.68572511,-105.01592782,2003,{00000000-0000-0000-0000-000000000000}
025912003,39.73818579,-104.97562316,2003,{00000000-0000-0000-0000-000000000000}
025922003,39.70829797,-105.03163542,2003,{00000000-0000-0000-0000-000000000000}
025952003,39.77835092,-105.03025829,2003,{00000000-0000-0000-0000-000000000000}
021382003,39.76452618,-105.03398354,2003,{00000000-0000-0000-0000-000000000000}
025512003,39.77823994,-104.81581185,2003,{00000000-0000-0000-0000-000000000000}
025522003,39.73369186,-104.88977695,2003,{00000000-0000-0000-0000-000000000000}
025552003,39.70600617,-105.00604062,2003,{00000000-0000-0000-0000-000000000000}
025562003,39.69180867,-105.02902876,2003,{00000000-0000-0000-0000-000000000000}
025582003,39.70617348,-104.86924472,2003,{00000000-0000-0000-0000-000000000000}
025592003,39.65529234,-104.91417405,2003,{00000000-0000-0000-0000-000000000000}
025632003,39.74060204,-104.97905333,2003,{00000000-0000-0000-0000-000000000000}
025642003,39.67190334,-105.05001567,2003,{00000000-0000-0000-0000-000000000000}
025652003,39.77466058,-104.82151107,2003,{00000000-0000-0000-0000-000000000000}
025662003,39.77159053,-104.75740608,2003,{00000000-0000-0000-0000-000000000000}
025692003,39.73177776,-105.02122986,2003,{00000000-0000-0000-0000-000000000000}
025702003,39.78778382,-104.82364824,2003,{00000000-0000-0000-0000-000000000000}
025712003,39.71930434,-105.02846192,2003,{00000000-0000-0000-0000-000000000000}
025722003,39.77745139,-104.83135078,2003,{00000000-0000-0000-0000-000000000000}
025742003,39.72485443,-105.0347823,2003,{00000000-0000-0000-0000-000000000000}
025752003,39.69191955,-105.05038804,2003,{00000000-0000-0000-0000-000000000000}
025772003,39.77935946,-104.81128704,2003,{00000000-0000-0000-0000-000000000000}
025442003,39.78449051,-104.8184371,2003,{00000000-0000-0000-0000-000000000000}
025802003,39.66003383,-105.02439492,2003,{00000000-0000-0000-0000-000000000000}
025812003,39.6916863,-104.91050896,2003,{00000000-0000-0000-0000-000000000000}
025822003,39.75751056,-104.99939685,2003,{00000000-0000-0000-0000-000000000000}
025832003,39.77849321,-104.82328169,2003,{00000000-0000-0000-0000-000000000000}
025862003,39.71204221,-104.91338244,2003,{00000000-0000-0000-0000-000000000000}
022792003,39.63175526,-104.88822696,2003,{00000000-0000-0000-0000-000000000000}
022812003,39.77883339,-104.76443215,2003,{00000000-0000-0000-0000-000000000000}
022822003,39.71194605,-105.02600552,2003,{00000000-0000-0000-0000-000000000000}
022832003,39.71538792,-104.92427682,2003,{00000000-0000-0000-0000-000000000000}
022852003,39.76673325,-104.96505819,2003,{00000000-0000-0000-0000-000000000000}
022862003,39.78576885,-105.01152128,2003,{00000000-0000-0000-0000-000000000000}
022872003,39.73591046,-104.96137923,2003,{00000000-0000-0000-0000-000000000000}
022882003,39.75665503,-104.93309584,2003,{00000000-0000-0000-0000-000000000000}
022912003,39.69842756,-105.02319012,2003,{00000000-0000-0000-0000-000000000000}
022922003,39.76865817,-105.00443663,2003,{00000000-0000-0000-0000-000000000000}
022932003,39.73827771,-104.89138594,2003,{00000000-0000-0000-0000-000000000000}
